Supplier Name,Address
ATE International Building Materials LLC,20240201 | ATE International Building Materials LLC | Dubai | UAE
Athmer Middle East BMT LLC,20240201 | Athmer Middle East BMT LLC | Dubai | UAE
Auto Lighting Trdg LLC,20240201 | Auto Lighting Trdg LLC | Dubai | UAE
Auto Pro,43306895
Auto Pro Car Care Professionals,Al Khail Mall Dubai
Automo Choice of Quality,Tel.043232181
Ayhaco Group,20240201 | Ayhaco Group | Dubai | UAE
Azam DArbar Cafeterar,20240201 | Azam DArbar Cafeterar | Dubai | UAE
Azhar Boom Boom,20240201 | Azhar Boom Boom | Dubai | UAE
Bab Al Khail Tyre Fitting & Repairing,Al Qouz
Bab Al Safa Accessories And Upholistery Co.LLC,"Shop 20, Near Al Khail Mall Al Qouz"
Bab Khaiber Auto Spare Parts TR LLC,20240201 | Bab Khaiber Auto Spare Parts TR LLC | Dubai | UAE
Bahwalpur Water Transport LLC,20240201 | Bahwalpur Water Transport LLC | Dubai | UAE
Bakht Pur Used Auto Spares Parts TR,20240201 | Bakht Pur Used Auto Spares Parts TR | Sharjah | UAE
Baniyas Building Materials Co LLC,E-Mail :Salesuae@bbmcgroup.Com
Bashaire Restaurant,Wadi Al - Daftah - Masafi
Batteryman Mobile Auto Repair Services LLC,"Al Qouz 4,Dubai Uae"
Beta Industrail LLC,Ras Al Khor Ind. Area 2
Betalink Instrument & Calib. Serv. LLC,20240201 | Betalink Instrument & Calib. Serv. LLC | Dubai | UAE
Better Life,20240201 | Better Life | Dubai | UAE
Bianca & Bianco Building Materials Trading LLC,20240201 | Bianca & Bianco Building Materials Trading LLC | Dubai | UAE
Bid City Auto Services CO LLC,20240201 | Bid City Auto Services CO LLC | Dubai | UAE
Biknervala Restaurant Branch,20240201 | Biknervala Restaurant Branch | Dubai | UAE
Bilawal Baloch EQip Rental LLC,20240201 | Bilawal Baloch EQip Rental LLC | Dubai | UAE
Bin Abid restaurant,20240201 | Bin Abid restaurant | Dubai | UAE
Bin Jameel Building & Construction Material Trading,Mobile No: +971 054 4362960
Blu Intelligent Soloution General Trading LLC,20240201 | Blu Intelligent Soloution General Trading LLC | Dubai | UAE
BMC Service Center,20240201 | BMC Service Center | Dubai | UAE
BNT Air Conditioning Systems LLC,Deira
Build Zone Building Materials,20240201 | Build Zone Building Materials | Dubai | UAE
Builtech Trading LLC,20240201 | Builtech Trading LLC | Dubai | UAE
Burj Steel Works LLC,Mob. 042210008
BURKAN BUILDING MATERIALS TRDG.LLC,"Asayel Road,Al Qouz Ind 3"
Bustan Al Arab Metal Works,+971521254876
CAfu Petroleum Transport LLC,20240201 | CAfu Petroleum Transport LLC | Dubai | UAE
Cannelle Trading LLC,20240201 | Cannelle Trading LLC | Dubai | UAE
Canvas General Trading LLC,Al Qouz Ind 3
Car Park Rental LLC,20240201 | Car Park Rental LLC | Dubai | UAE
Century Mechanical System Factory LLC,20240201 | Century Mechanical System Factory LLC | Dubai | UAE
Chabros Timber Trding LLC,20240201 | Chabros Timber Trding LLC | Dubai | UAE
Citi Plus General Trading LLC,20240201 | Citi Plus General Trading LLC | Dubai | UAE
City Land Transport,20240101 | 85147 | City Land Transport | Dubai | UAE
City Point Gen. Trading LLC,20240201 | City Point Gen. Trading LLC | Dubai | UAE
Clean Car,20240201 | Clean Car | Dubai | UAE
Cleanline,20240201 | Cleanline | Dubai | UAE
Conmix Ltd,20240201 | Conmix Ltd | Dubai | UAE
Consort Middle East LLC,20240201 | Consort Middle East LLC | Dubai | UAE
Crown Pump Industry LLC,20240201 | Crown Pump Industry LLC | Dubai | UAE
Culligan International Emirates LLC,20240201 | Culligan International Emirates LLC | Dubai | UAE
Danube Homes,20240201 | Danube Homes | Dubai | UAE
Dar Al Almas W.Shops Tools Maint,"Mob.0559898493 , 0553735007"
Dar Al Khair Kitchen,20240201 | Dar Al Khair Kitchen | Dubai | UAE
Dar Al Khaleej Auto Services,20240101 | 15171 | Dar Al Khaleej Auto Services | Dubai | UAE
Dar Al Wafa Building Materials LLC,20240201 | Dar Al Wafa Building Materials LLC | Dubai | UAE
Dar Darbar Restaurant,20240201 | Dar Darbar Restaurant | Dubai | UAE
Day to Day,20240201 | Day to Day | Dubai | UAE
Deans Life Pharmacy L.L.C,20240201 | Deans Life Pharmacy L.L.C | Dubai | UAE
DEWA Payable,20240201 | DEWA Payable | Dubai | UAE
Dinesh Aidasani General Trading LLC,Al-Qouz-4
Dr. Sanjay Medical Center,"Al Khail Mall, 2nd Floor"
Dream Planet Trading LLC,20240201 | Dream Planet Trading LLC | Dubai | UAE
Dream Wood Laminates Building Materials TR LLC,20240201 | Dream Wood Laminates Building Materials TR LLC | Dubai | UAE
Dubai Adhesive Material Factory LLC,20240201 | Dubai Adhesive Material Factory LLC | Dubai | UAE
Dubai Retail Asset LLC,"Commercial Office Building 1,"
DUCTFAB LLC,Tel 04-3382445
DXB Solutions LLC,20240201 | DXB Solutions LLC | Dubai | UAE
Ebara Pumps Middle East FZE,Mr. Danish Email : danish.mohammed@ebara.com
Eclipse Electricals LLC,20240201 | 1356 | Eclipse Electricals LLC | Dubai | UAE
Ectratech Trading LLC,20240201 | Ectratech Trading LLC | Dubai | UAE
Elegant Trading LLC,20240201 | Elegant Trading LLC | Dubai | UAE
Emaar Business Park,20240201 | Emaar Business Park | Dubai | UAE
Emarat,20240201 | Emarat | Dubai | UAE
Emaratech,20240201 | Emaratech | Dubai | UAE
Emirates International Equipments Machinery LLC,20240201 | Emirates International Equipments Machinery LLC | Dubai | UAE
Empire Height,20240201 | Empire Height | Dubai | UAE
ENOC,20240201 | ENOC | Dubai | UAE
Excel Middle East LLC,20240201 | Excel Middle East LLC | Dubai | UAE
Expert Pharmacy,20240201 | Expert Pharmacy | Dubai | UAE
Faaz,20240201 | Faaz | Dubai | UAE
Faisal Umer Transport By Heavy and Licght Truck LLC,20240201 | Faisal Umer Transport By Heavy and Licght Truck LLC | Dubai | UAE
Faiz Khair Transport by Heavy and Light Trucks LLC,20240201 | Faiz Khair Transport by Heavy and Light Trucks LLC | Dubai | UAE
Faraidooni LLC,20240201 | Faraidooni LLC | Dubai | UAE
Farrakh Shahzad Cargo Transport By Heavy Truck LLC,20240201 | Farrakh Shahzad Cargo Transport By Heavy Truck LLC | Dubai | UAE
Fast Removal Transport LLC,20240201 | Fast Removal Transport LLC | Dubai | UAE
FAZA  Building Materials Trading LLC,20240201 | FAZA  Building Materials Trading LLC | Dubai | UAE
FEDEX Express,Dubai Uae
Fikree Pipe LLC,20240101 | 2480 | Fikree Pipe LLC | Dubai | UAE
Filipino Garage,"New Sanaiyah, Umm Al Quwain"
Fine Tech Glass & Metal Co. LLC,20240201 | Fine Tech Glass & Metal Co. LLC | Dubai | UAE
Fine Tools Equipment Reparing LLC,20240201 | Fine Tools Equipment Reparing LLC | Dubai | UAE
Finetools Trading LLC,20240201 | Finetools Trading LLC | Dubai | UAE
Fineway Garage,20240201 | Fineway Garage | Dubai | UAE
Future Link LLC,20240201 | Future Link LLC | Dubai | UAE
Garden VAlley Building Materials Trading LLC,20240201 | Garden VAlley Building Materials Trading LLC | Dubai | UAE
Garden Vally  Restaurant,20240201 | Garden Vally  Restaurant | Dubai | UAE
Gate Most Item 1 to 10 Aed,Email Info@gateuae.Com
Gate Way Moving Doors,20240201 | 34369 | Gate Way Moving Doors | Dubai | UAE
Gemini Building Materials LLC,20240201 | Gemini Building Materials LLC | Dubai | UAE
Ghulam Shabbir Taxi Pickup Services,20240201 | Ghulam Shabbir Taxi Pickup Services | Dubai | UAE
Gift City,20240201 | Gift City | Dubai | UAE
Global Fiber Glass FZC,20240201 | Global Fiber Glass FZC | Dubai | UAE
Golden Dreams,0971552558400
Goldenway Elect.Ware Tr.LLC,Tel.042641224
Good Hand Stones and Concrere Flooring LLC,20240201 | Good Hand Stones and Concrere Flooring LLC | Dubai | UAE
Grand Hyper,20240201 | Grand Hyper | Dubai | UAE
Graniti Building Materials LLC,20240201 | Graniti Building Materials LLC | Dubai | UAE
Green Gift,20240201 | Green Gift | Dubai | UAE
Guangzhou ZHendong Arts & Crafts FZCO,20240201 | Guangzhou ZHendong Arts & Crafts FZCO | Dubai | UAE
Gujrat Traders,20240201 | Gujrat Traders | Dubai | UAE
Gulf Leisure BBQ General Trading LLC,E-Mail: Acconts@gulf-Leisure.Com
Hafele Middle East Trading LLC,20240201 | Hafele Middle East Trading LLC | Dubai | UAE
Haji Abdul Rahim Trading LLC,20240201 | Haji Abdul Rahim Trading LLC | Dubai | UAE
Hamad Rahma A.Alshasi General Trading,20240201 | Hamad Rahma A.Alshasi General Trading | Dubai | UAE
Hamdan Carpentry,+971056529808
Haroon Architectural Hardware Co. LLC,20240201 | Haroon Architectural Hardware Co. LLC | Dubai | UAE
Hassan Abdulla Al Hannadi & Sons,20240201 | Hassan Abdulla Al Hannadi & Sons | Dubai | UAE
HIJAN RESTAURANT & CAFE,20240201 | HIJAN RESTAURANT & CAFE | Dubai | UAE
Hilite Building Materials Trading LLC,20240201 | Hilite Building Materials Trading LLC | Dubai | UAE
Hilite Building Materilas Trading LLC,20240201 | Hilite Building Materilas Trading LLC | Dubai | UAE
HIRA Industries LLC,20240201 | HIRA Industries LLC | Ajman | UAE
Holzcraft Machinery Trading LLC,"Ras Al Khor, Ind Area 2"
Home Solution Building Materials Trading LLC,Homesolutionbmt@gmail.Com
Homesmiths,20240201 | Homesmiths | Dubai | UAE
Homewide,20240201 | Homewide | Dubai | UAE
Hussain Aluminium Co.LLC,Mob.043411752
Hydra Car Wash,20240201 | Hydra Car Wash | Dubai | UAE
Hygiene Concepts LLC,TEL 04-3395299
IHG Brands Lighting LLC,20240201 | IHG Brands Lighting LLC | Dubai | UAE
IKEA,20240201 | IKEA | Dubai | UAE
INDER Interior LLC,20240201 | INDER Interior LLC | Dubai | UAE
Inflex Hydraulic Engines & Machinery Spare Parts,+97143394677
Integrated Trading Co. LLC,Email : Hansgrohe@itcuae.Com
INTERGLASS CO.LLC,Tel:0971 4 2633406
Interlink Building Materials Trading LLC,20240201 | Interlink Building Materials Trading LLC | Dubai | UAE
Isam Kabbani Trading LLC,E-mail: Mustafa.Saeed@ikkgroup.com
Ismail Liaqat Cargo Transport by Heavy Truck LLc,20240201 | Ismail Liaqat Cargo Transport by Heavy Truck LLc | Dubai | UAE
Istanbul Lighting Eqpt. Trading LLC,Emaad
Jai Electricals LLC,20240201 | Jai Electricals LLC | Dubai | UAE
Jasi Building Materials Trading LLC,20240201 | Jasi Building Materials Trading LLC | Dubai | UAE
JIFCO Trading LLC,20240201 | JIFCO Trading LLC | Dubai | UAE
JOGA RAM GENERAL TRADING LLC,20220101 | JOGA RAM GENERAL TRADING LLC | Dubai | UAE
Johns Paints Trading LLC,20240201 | Johns Paints Trading LLC | Dubai | UAE
Jubily Supermarket LLC,20240201 | Jubily Supermarket LLC | Dubai | UAE
Juliga Trading FZCO,20240201 | Juliga Trading FZCO | Dubai | UAE
K Fix International LLC,Al Qouz Ind. Area No 1
Kallegra Industries LLC,20240201 | Kallegra Industries LLC | Dubai | UAE
Kanz Al Madina General Trading,20240201 | Kanz Al Madina General Trading | Dubai | UAE
Kasturi General Trading LLC,20240201 | Kasturi General Trading LLC | Dubai | UAE
Khair Darbar Restaurant,20240201 | Khair Darbar Restaurant | Dubai | UAE
Khalid Ahmed Mohammed Auto Spare Parts LLC,"Ras Al Khor , Ind Area 1"
Kitchen & Bath Gallery General Trading LLC,20240201 | Kitchen & Bath Gallery General Trading LLC | Dubai | UAE
KP MART,DUBAI UAE
KSK Trading LLC,20240201 | KSK Trading LLC | Dubai | UAE
Kuber International Trading LLC,20240201 | Kuber International Trading LLC | Dubai | UAE
Lamer Villa A14,Mob:
Lapizblue General Trading LLC,20240201 | Lapizblue General Trading LLC | Dubai | UAE
Laspinas Building Materials Trading LLC,20240201 | Laspinas Building Materials Trading LLC | Dubai | UAE
LED Corner Trading LLC,20240201 | LED Corner Trading LLC | Dubai | UAE
LED Domain Light Fittings Trading LLC,20240201 | LED Domain Light Fittings Trading LLC | Dubai | UAE
Leminar Air Conditioning Company LLC,20240201 | Leminar Air Conditioning Company LLC | Dubai | UAE
Lionsrock General Trading LLC,+97144069745
Liva Insurance B.S.C,+97143029800
Lucknow Restaurant,20240201 | Lucknow Restaurant | Dubai | UAE
LZ Trading FZCO,20240201 | LZ Trading FZCO | Dubai | UAE
M Three Building Materials Co. LLC,20240201 | M Three Building Materials Co. LLC | Dubai | UAE
M.A.H.Y Khoory & Co LLC,20240201 | M.A.H.Y Khoory & Co LLC | Dubai | UAE
Majid Bukattara Building Materials Trading LLC,20240201 | Majid Bukattara Building Materials Trading LLC | Dubai | UAE
MAK Power Building Material & Equipment Trading LLC,Al Qouz Industrial Area 2
Marhaba Garage,Jawad 056 778 4283
Mariam Almatbkh,Catering Equipment Trading LLC
MArwan Saeed Autocare,20240201 | MArwan Saeed Autocare | Dubai | UAE
MAS Paints & Chemicals Industry,20240201 | MAS Paints & Chemicals Industry | Dubai | UAE
Masafi Building Materials Trading LLC,20240201 | Masafi Building Materials Trading LLC | Dubai | UAE
Master Cotton & Gloves,0561170753
Matharu Carpentry,+9710506597185
Mazhar Al Madina Gen. Trading LLC,Al Qouz
MBM Navi Parking LLC,20240201 | MBM Navi Parking LLC | Dubai | UAE
MEDICINE,20240201 | MEDICINE | Dubai | UAE
MEDICINE EXPENCES,20240201 | MEDICINE EXPENCES | Dubai | UAE
Mega City Building Materials Trading LLC,20240201 | Mega City Building Materials Trading LLC | Dubai | UAE
Mega Paint Trading LLC,20240201 | Mega Paint Trading LLC | Dubai | UAE
Mega Star Resturant,20240201 | Mega Star Resturant | Dubai | UAE
Megsons Enterprises,20240201 | Megsons Enterprises | Dubai | UAE
Mena Quality Building Materials LLC,"Regal Tower, Business Bay"
Meppro Building Materials Trading LLC,20240201 | Meppro Building Materials Trading LLC | Dubai | UAE
Merza Mohammed Bakery,20240201 | Merza Mohammed Bakery | Dubai | UAE
Metallic Equipment Hollding LLC,20240201 | Metallic Equipment Hollding LLC | Dubai | UAE
Metro General Trading LLC,20240101 | Metro General Trading LLC | Dubai | UAE
MG1-4010,Marina Gate
MIG Transport Heavy & Light Truck LLC,20240201 | MIG Transport Heavy & Light Truck LLC | Dubai | UAE
Minrwa Aluminium & Glass LLC,20240201 | Minrwa Aluminium & Glass LLC | Dubai | UAE
Mobile Recharge,20240201 | Mobile Recharge | Dubai | UAE
Mohamed Abdul Hye Air Condition Spare Parts Trading,20240201 | Mohamed Abdul Hye Air Condition Spare Parts Trading | Dubai | UAE
Mohamed Abdulrahim Building Materials Trading LLC,20240201 | Mohamed Abdulrahim Building Materials Trading LLC | Dubai | UAE
Mohamed Nasir New Auto Spare Parts LLC,20240201 | Mohamed Nasir New Auto Spare Parts LLC | Dubai | UAE
Mohan And Sons Trading LLC,Tel : 04-3380345
Mohd. Al Qama Building Materials Trdg. LLC,20240201 | Mohd. Al Qama Building Materials Trdg. LLC | Dubai | UAE
Mohd. Al Qama Cermics Trading LLC,20240201 | Mohd. Al Qama Cermics Trading LLC | Dubai | UAE
MOHD. ZAINAL FARAIDOONI LLC,"Al Khabaisi,Dubai"
Motor Land Garage,20240201 | Motor Land Garage | Dubai | UAE
Muhammad Abul Qasim Goods Wholesalers LLC,20240201 | Muhammad Abul Qasim Goods Wholesalers LLC | Dubai | UAE
Muhammad Afgan Resturant Co LLC,20240101 | Muhammad Afgan Resturant Co LLC | Dubai | UAE
Muhammad Riaz Abdul Ghafoor Transport LLC,20240201 | Muhammad Riaz Abdul Ghafoor Transport LLC | Dubai | UAE
Muhammed Zaheer Transport By Heavy And Light Truck,Baldev-0554454609
Munawer Hussain Auto Maint W Shop,20240201 | Munawer Hussain Auto Maint W Shop | Dubai | UAE
Munshi Transport,Abdul Ghafoor 050-9700696
Murshd Auto Spare Part Trdge,20240201 | Murshd Auto Spare Part Trdge | Dubai | UAE
MVP Appliances,Abu Dhabi -+97124446160
My Homes Building Metal Product Trading LLC,0552256010 / 0501624735
NAD AL HAMAR PHARMACY LLC,20240201 | NAD AL HAMAR PHARMACY LLC | Dubai | UAE
Najmaal Musallah Pharmacy,20240201 | Najmaal Musallah Pharmacy | Dubai | UAE
Najmat Al Seeh,20240201 | Najmat Al Seeh | Dubai | UAE
Nasser Al Matrooshi Trading LLC,20240201 | Nasser Al Matrooshi Trading LLC | Dubai | UAE
National Parking Co Ltd,20240201 | National Parking Co Ltd | Dubai | UAE
Nediyathu Electrical Equipment Reparing LLC,20240201 | Nediyathu Electrical Equipment Reparing LLC | Dubai | UAE
Nesto Hypermarket,20240201 | Nesto Hypermarket | Dubai | UAE
Network International LLC,20240101 | Network International LLC
New Martech Airco.&Ref Spare Trading Co Llc,+9710506968173
New Qamar Al Huda Trading LLC,"Al Qouz Industrail Area 3,"
New Royal Auto Sprae Parts Trading LLC,20240201 | New Royal Auto Sprae Parts Trading LLC | Dubai | UAE
New Spicy Palacerestaurant,20240201 | New Spicy Palacerestaurant | Dubai | UAE
NICEWAY TRADING FZCO,Al Awir Road
Nine Star Trading Co. LLC,20240201 | Nine Star Trading Co. LLC | Dubai | UAE
Noaf Interior LLC,20220101 | Noaf Interior LLC | Dubai | UAE
Noaf Interiors LLC,20240201 | Noaf Interiors LLC | Dubai | UAE
Noor Al Maqdis Hardware & Elt Tr LLC,20240201 | Noor Al Maqdis Hardware & Elt Tr LLC | Dubai | UAE
Noor Al Satwa Cargo Transport By Light Truck LLC,20240201 | Noor Al Satwa Cargo Transport By Light Truck LLC | Dubai | UAE
Noor Al Taj Foodstuff Trading CoLLC,20240201 | Noor Al Taj Foodstuff Trading CoLLC | Dubai | UAE
Norman Maxim Trading LLC,20240201 | Norman Maxim Trading LLC | Dubai | UAE
Obaid Masood Building Materials Trading LLC,20240201 | Obaid Masood Building Materials Trading LLC | Dubai | UAE
Obaid Masood Building Matericals Trading LLC,20240201 | Obaid Masood Building Matericals Trading LLC | Dubai | UAE
OD International Trading FZCO,20240201 | OD International Trading FZCO | Dubai | UAE
Omar Mohammed Ind. Gas Trading,Soufi 0504811654
Orient Insurance PJSC,20240201 | Orient Insurance PJSC | Dubai | UAE
OV LIGHTING FZCO,20240201 | OV LIGHTING FZCO | Dubai | UAE
Pak Darbar Restaurant,20240201 | Pak Darbar Restaurant | Dubai | UAE
Pak Malabar Restaurant,20240201 | Pak Malabar Restaurant | Dubai | UAE
Panache Building Materials Trading LLC,Al Qouz
Parkonic Parking System & Management LLC,20240101 | 3685 | Parkonic Parking System & Management LLC | Dubai | UAE
Pathan Darbar Restaurant,20240201 | Pathan Darbar Restaurant | Dubai | UAE
Pearl Pool Trading LLC,20240201 | Pearl Pool Trading LLC | Dubai | UAE
Perfect Design Furniture Upholstery EST,20240201 | Perfect Design Furniture Upholstery EST | Dubai | UAE
Pickup For Rent,20240201 | Pickup For Rent | Dubai | UAE
Planet Eco Building Materials LLC,20240201 | 81958 | Planet Eco Building Materials LLC | Dubai | UAE
Power Cool Trading LLC,20240201 | Power Cool Trading LLC | Dubai | UAE
Prakash Pump EST,Tel : +971 37222733
Prakash Trading Co LLC,0554394077
Precision Electricals Co LLC,20240201 | Precision Electricals Co LLC | Abu Dhabi | UAE
Premier Auto Parts LLC,20240201 | Premier Auto Parts LLC | Dubai | UAE
Prime A/C Industries LLC,20240201 | Prime A/C Industries LLC | Dubai | UAE
Prime Vision Industrial GasTrading LLC,20240201 | Prime Vision Industrial GasTrading LLC | Dubai | UAE
Pro Shop,20240201 | Pro Shop | Dubai | UAE
